date_published,rating_value_10,rating_value_5,title,body
2023-09-17,8,8,"""a very good experience""","✅ Trip Verified | Check-in and boarding in Penang were smooth. The lounge in Penang was quite ordinary but completely adequate. On board, the window seat was very comfortable, though storage was limited. My pre-ordered vegetarian meal hadn't been loaded, so I was given a very bready pizza from Economy class. At Changi the Singapore Business lounge in Terminal 3 was vastly superior to those of most airlines, even when crowded. The process of boarding the A380 was smooth. The seat was comfortable and converted into a good bed, but a little tight around the feet. My vegetarian meal was delicious. The number of toilets in the Business section was limited, and there were Economy-type queues in the morning. The luggage was available quickly. Overall a very good experience."
2023-09-17,8,8,"""a very pleasant journey""","✅ Trip Verified | At Melbourne airport the check-in was very quick and friendly, and the lounge was pleasant and had a good selection of food and drink. Onboard the cabin crew was welcoming, and the seat on the B777 was very comfortable with adequate storage though the diagonal arrangement for lying flat was awkward. No amenities kit was provided. The quality of the vegetarian meals was way above that of other airlines. The flight arrived in Singapore a little early and transfer to a nearby gate for the second leg to Japan leaving in 70 minutes was easy. The boarding process was efficient, and the crew on the B787 were also welcoming and the seat was comfortable (not diagonal for sleeping), though storage space was more limited. The flight arrived on time and luggage was available quickly. All in all a very pleasant journey."
2023-09-16,10,10,"""Unbelievable devotion to service!""","✅ Trip Verified | I cannot speak highly enough of the superlative service received on this flight. After I lost one earbud deep down into my seat the crew were determined to retrieve it for me - the lovely hostess thrust her wrist into the seat workings and fished out my earbud, sustaining some pain and minor abrasion. Unbelievable devotion to service! Every other aspect of the crew's service was impeccable as well. I can wholeheartedly recommend Singapore Airlines - I have just flown Economy Class from London to Singapore and the service was fabulous on that flight as well. I am writing this review on in-flight wi-fi - seems to be working fine, for the first time in my experience."
2023-09-15,10,10,"""always great new planes""","Not Verified | As always great new planes, friendly service, lots of legroom. On time every time, staff extremely helpful, and even in economy food very good. We will always where possible fly Singapore Airlines. Thank you you are a big part of our holidays."
2023-09-15,10,10,"""experience was second to none""","✅ Trip Verified |  I have just flown SQ256 from Brisbane to Singapore and the experience was second to none with outstanding cabin crew. Well done SQ,"
2023-09-14,2,2,"""premium price for economy quality""","Not Verified | Premium economy in Singapore Airlines is terrible. The seats are hard and uncomfortable, the food is the same as economy and there is no separate toilet in the PE cabin (only the economy toilets). We had to ask for a bottle of water, there was no amenity kit and when we asked for socks, the kit we received contained socks and a toothbrush (no toothpaste). The staff were nice but premium economy is simply a premium price for economy quality. Next time I need to go to Europe, I'll look to transit through the US rather than Singapore."
2023-09-12,10,10,"""served a lovely dinner""","✅ Trip Verified | SQ227 in Economy. Booked in April. Fare was Starting at $1600.00USD, luckily I was able to use my mileage for this trip. Gate opened right on time, with Cabin Crew going through Security after me. I boarded last, and was welcomed aboard. Crew made comments on my Attaché, saying ""You look like 007"", and other nice touches. One asked ""I like that! Is that A Rimowa?"" Nice to see SQ crew attentive, with small touches. Cabin jammed, Had to go around to get to my seat. I sat 62G, and had no Overhead Bin. So I had to use another one. Throughout the flight nobody disturbed my stuff. Luckily my Attaché fit under the seat. Also there is only 1 Lavatory in the rear of the Aircraft. We got served a lovely dinner. I noticed one of the Female crew members, was in a Suit. Flying with SQ since 2008, had me pondered. After the meal I engaged her in some conversation. She said ""I am a Flight Auditor. Do you have any Feedback Sir?'. I didn't tell her about the appallingly horrific SQ check in at FRA, but maybe I should have. I settled in to sleep. One of the Cabin Attendants asked me if I wanted an aid to cover my eyes, but I said no, and I flew asleep. Woke up 90 minutes out, and was served refreshment. Multiple coffee rounds commenced, with crew approaching sleeping passengers for Refreshment. Landed MEL, with announcements on Luggage coming out late, however no SQ Ground Staff at the Luggage Carousel. If I go to Australia again, I would definitely fly Singapore Airlines."
2023-09-08,10,10,"""Exceptionally shine""","✅ Trip Verified | World's Longest Commercial Flight, in Premium Economy Solo Seat. Bought Tickets in April. SQ Counter at EWR rather late to open, however incoming aircraft arrived late. Staff didn't know final destination, and I had to help them. No bother, as they appreciated it, and checked my Rimowa through. Cabin Crew arrived 40 minutes before boarding time. Ground staff again were novice, and boarding was kind of ""rough"" due to misplaced announcements. I was the last to board. Upon boarding was greeted throughout my walk to my seat. One Attendant even asked where I was going, smiled, and got out of the way. SQ Premium Economy Solo Seat so comfortable, and side bin holds so much. Took off on time, to a lovely sunny day. Had to use the Lavatory, and had to wait, because a Cabin Attendant was cleaning it. She noticed me, and expedited her clean. On IFE the ""Old is Gold"" section is gone, but a excess of Old movies were available, and I watched Star Wars. A drink run commenced, then Lunch. When they arrived for Lunch, the Attendant Instantly apologized, and said they only had 1 meal type however, however promised multiple options later. So I went ahead, and had it. Was tasty, followed my Ice Cream, and another drink round. I dozed off, and woke up over Denmark. Went to use the Lavatory again, however it was again being cleaned. Snack/drink runs were conducted. Really appreciate the crew on the details. Had the second meal of Iraq/Iran. I had the Seafood option. Was exceptional, hot too symphony of flavors. More drink runs followed. I dozed off again, and woke up with a Made in Italy pocket Pizza next to me. Landed SIN, to a beautiful evening. Once again SQ21, SQ23 Exceptionally shine."
2023-09-02,3,3,"""seats are hard and uncomfortable""",Inflight entertainment selection is poor…and meals are poor compared to other airlines. The leather seats are hard and uncomfortable. The amenities bag is rubbish - no socks and no eye mask.
2023-08-29,10,10,"""professional and comfortable""",Not Verified | We flew with Singapore to New York for the first time and were very pleased. Everything was professional and comfortable. The staff helped us with everything. Nothing to complain about.
2023-08-29,1,1,"""they’ve begun to nose-dive""","Not Verified | My partner is a student, and we’re in the process of moving her home, we called to add her student Kris-Flyer account to her ticket and they confirmed over the phone they did, and that they left a note and that they unfortunately couldn’t send email confirmation - despite our requests. The ground crew were asking for email confirmation and attempted to charge us 600+ euros for the extra weight (€60/kg) despite our allowance supposedly covering this. Then the ground crew advised us to pay now and attempt to claim later (which in a previous experience which costed me €2000 didn’t get me any return) We turned up 4 hours before our flight. It’s been 2 while being on hold again for another hour to get re-confirmation. If you value you your time more than this avoid them if you can, pre-covid, Singapore was best in class. Now they’ve begun to nose-dive."
2023-08-23,7,7,"""offered 100 dollars full settlement""","Not Verified | I have always had a good cabin experience with Singapore and been a Gold Member for decades. However a recent baggage issue has left me gobsmacked by their tardiness and callous behaviour. Landed in SIN on a stopover and noticed my Delsey case (only 12kg total check in) had a 6 inch case fracture. I reported it and received a case number. On arriving into Cairns the next day, there was no customer service representative visible so I could not pursue the matter. After calling SQ in Singapore after 3 weeks I was finally emailed by a local representative who saw the bag damage photos and offered 100 dollars full settlement for a new bag worth 400 dollars. The experience has let me reconsider any future SQ travel plans."
2023-08-21,5,5,"""Baggage handling was very poor""",✅ Trip Verified | Baggage handling was very poor. My new suitcase was very badly handled. All 4 wheels were broken and pulling handle was jammed. Upon lodging complaint they simply said this is caused by routine handling and airline can do nothing about it. This was very bad and was not expected from an airline among top airlines of the world.
2023-08-21,9,9,"""We had a wonderful crew""","Not Verified | We had a wonderful crew, especially Singapore to Zurich SQ346 17/7/23 with Marissa, Celeste, Joanne and Scarlet who looked after us wonderfully. They attended to all our needs with no fuss. Thankyou."
2023-08-13,10,10,"""The service was excellent""","✅ Trip Verified | The service was excellent. Very impressed to see Singapore Airlines continuing to be one of my favourite airlines to travel with. The meals were excellent, inflight entertainment was excellent, and the cleanliness in the washrooms were perfect on both of my flights. It is always wonderful travelling with Singapore Airlines and will always continue to use the airline for future travels! Way to go Singapore Airlines!"
2023-08-09,10,10,"""outstanding customer service""","✅ Trip Verified | Singapore Airlines impressed me with their outstanding customer service. Despite the unfortunate incident of my stolen passport, they rebooked my flight twice at no cost, showing exceptional flexibility and support. Their quick responses, transparent communication, and genuine care for passengers make them a top choice for hassle-free travel. Kudos to Singapore Airlines for turning a potentially disastrous situation into a shining example of world-class service."
2023-08-09,6,6,"""Overall not a bad flight""","Not Verified |  My flight arrive late which cause a 50 minute delay. Overall not a bad flight. Food was tasty, seat were comfortable and the best inflight entertainment and they are trying to do their best to make up for the delay. On my return flight a 1hour 10 minute delay m. Also not a bad flight. It was the same as my other flight."
2023-08-03,10,10,"""way better than other airlines""","Not Verified | This year we have returned to fly with Singapore Airlines after some years of absence. No regrets! The service, food and everything is way better than other airlines we flew with, including Emirates last year (gluten-free meals on Singapore Airlines are very tasty, unlike Emirates GF meals). Impeccable service that caters for all the needs and even whims of passengers, including my request for a slice of lemon for my tea (the Polish way), which Nadine fullfilled with ease and a smile on the SQ325 flight on 16 July 2023. God bless you, Nadine!"
2023-07-22,9,9,"""Great service and food""","Not Verified | Thank you to the crew of Chis, Fred, Shin Ru, Mabel, Fhri and Gui Fang. A long time since I have traveled with Singapore Airlines and they are amazing. Great service and food. Extremely comfortable seating."
2023-07-19,1,1,"""by far the worst customer service""",Not Verified | Singapore Airlines still has not reimbursed me for my lost bags back in early January. After fighting them for months they finally agreed to give me some money for losing my stuff. They approved it back on May 18th. They said please allow a month for final approval. Here it is July 17th and still nothing. Singapore Airlines has by far the worst customer service I have ever seen. Please do not fly Singapore Airlines.
